Date,Close,High,Low,Open,Volume
2004-05-26,6.857178211212158,6.987172768265975,6.340452694401656,6.499695310080327,98462500
2004-05-27,6.938424110412598,7.035919438624429,6.824679173420131,6.9692977472366096,34850000
2004-05-28,7.0359206199646,7.068419068158408,6.987173335085948,6.987173335085948,8890000
2004-05-31,6.938424110412598,6.975797745713662,6.694685402471023,6.956298525106497,2425000
2004-06-01,6.889677047729492,6.922176269955185,6.7596832581231405,6.7596832581231405,16042500
2004-06-02,7.068418025970459,7.068418025970459,6.905925808959738,6.905925808959738,9990000
2004-06-03,7.377155780792236,7.466526332549962,6.996923959392382,7.019672798937103,10432500
2004-06-04,7.490900993347168,7.78176227230844,7.312159109280627,7.312159109280627,6560000
2004-06-07,7.490900993347168,7.637143648652284,7.458402539410002,7.637143648652284,2082500
2004-06-08,7.279659748077393,7.47465044739864,7.230911685834998,7.47465044739864,5280000
2004-06-09,7.352781772613525,7.401529062143901,7.117167807018856,7.149666258313839,2322500
2004-06-10,7.352781772613525,7.352781772613525,7.352781772613525,7.352781772613525,0
2004-06-11,7.4746503829956055,7.4746503829956055,7.1935387551550445,7.1935387551550445,167500
2004-06-14,7.6013922691345215,7.620891487964048,7.312155922693667,7.312155922693667,5852500
2004-06-15,7.750888347625732,7.848383705950205,7.555897630976789,7.555897630976789,8230000
2004-06-16,7.637142181396484,7.750887135735893,7.474649942928835,7.7183886880423636,1935000
2004-06-17,7.5233988761901855,7.64526787549753,7.5233988761901855,7.5233988761901855,7330000
2004-06-18,7.547770977020264,7.547770977020264,7.474649282464866,7.474649282464866,595000
2004-06-21,7.4746503829956055,7.632268212259755,7.4746503829956055,7.555896894424839,1080000
2004-06-22,7.489275932312012,7.507149577734156,7.458402285897467,7.473026318483627,11905000
2004-06-23,7.531521797180176,7.555895435974647,7.424276081871688,7.474648940227734,2655000
2004-06-24,7.718389987945557,7.718389987945557,7.474651201782428,7.474651201782428,1210000
2004-06-25,7.6777663230896,7.7183895811129295,7.637143065066271,7.637143065066271,3245000
2004-06-28,7.718389987945557,7.718389987945557,7.637143467616433,7.685891534778755,1815000
2004-06-29,7.848382472991943,7.872756115037975,7.653391786975474,7.653391786975474,7487500
2004-06-30,8.106743812561035,8.124618226802264,7.7183873154621505,7.7183873154621505,3277500
2004-07-01,8.124619483947754,8.529225652021614,8.043372979178638,8.092121037004926,1620000
2004-07-02,8.122995376586914,8.131120182727562,8.043373671092045,8.124620182850212,745000
2004-07-05,7.913379192352295,7.9621272501844045,7.86463190934428,7.957252056989146,782500
2004-07-06,8.027125358581543,8.043374197101299,7.799636195535486,7.880881937782687,3117500
2004-07-07,8.109994888305664,8.205865416323247,7.913378639415891,8.108369307471435,4362500
2004-07-08,8.132746696472168,8.20424283601294,8.092123432064176,8.092123432064176,1012500
2004-07-09,8.132746696472168,8.132746696472168,8.132746696472168,8.132746696472168,0
2004-07-12,8.595847129821777,8.612096740285173,8.116494468688627,8.116494468688627,2785000
2004-07-13,8.595847129821777,8.920831590848962,8.449603734947509,8.920831590848962,652500
2004-07-14,8.61047077178955,8.61047077178955,8.449603354598738,8.451228935431162,327500
2004-07-15,8.8558349609375,8.8558349609375,8.52922568415521,8.612096995360067,3272500
2004-07-16,9.149947166442871,9.424559565816429,8.93545724675971,8.93545724675971,4127500
2004-07-19,9.09957504272461,9.29294094749098,8.937082783444996,9.15644791459063,1120000
2004-07-20,9.015077590942383,9.18082021347965,8.70146753778003,9.099573708341916,2360000
2004-07-21,8.677095413208008,9.042703200599801,8.628347346637794,9.042703200599801,3065000
2004-07-22,8.449605941772461,8.69334473861334,8.29523847617366,8.69334473861334,400000
2004-07-23,8.660846710205078,8.693345166394758,8.44960635756,8.44960635756,675000
2004-07-26,8.709593772888184,8.7745906777376,8.451230959888123,8.693344159263718,8245000
2004-07-27,8.777839660644531,8.855835785902068,8.709593147897207,8.79083888571676,2380000
2004-07-28,8.725841522216797,8.93383221162547,8.725841522216797,8.928957018217137,7242500
2004-07-29,8.685218811035156,8.937082382744222,8.685218811035156,8.937082382744222,9085000
2004-07-30,8.449605941772461,8.774591262501724,8.43335710188935,8.774591262501724,3695000
2004-08-02,8.449605941772461,8.480479589857076,8.287113668819966,8.368360192708352,1577500
2004-08-03,8.530852317810059,8.61047325898835,8.44960579532978,8.44960579532978,2915000
2004-08-04,8.449605941772461,8.478854783351192,8.415482680676078,8.441481909243043,18775000
2004-08-05,8.287111282348633,8.514600398971208,8.287111282348633,8.514600398971208,1182500
2004-08-06,8.287111282348633,8.36835778284015,8.254612837116836,8.366732976802169,8150000
2004-08-09,8.0758695602417,8.287109803976369,8.046621507127602,8.287109803976369,1580000
2004-08-10,8.066122055053711,8.124618945746136,7.963751527811915,8.12299413973024,3155000
2004-08-11,7.880881309509277,8.075872005146717,7.718389063144744,8.075872005146717,17805000
2004-08-12,7.954003810882568,8.04337436162984,7.882506905390214,7.882506905390214,3077500
2004-08-13,7.880881309509277,7.963752626343641,7.8808813095092765,7.962127820103618,920000
2004-08-16,7.962127208709717,7.962127208709717,7.889005509754491,7.889005509754491,452500
2004-08-17,7.880881309509277,8.002751075400788,7.864632472284898,7.978376657327996,857500
2004-08-18,7.970254421234131,7.970254421234131,7.8971327001951614,7.8971327001951614,537500
2004-08-19,8.002751350402832,8.092121895268367,7.9621280937097065,7.9621280937097065,2482500
2004-08-20,7.9068827629089355,8.002753331515201,7.905257181386484,8.002753331515201,512500
2004-08-23,7.864632606506348,7.88250625027579,7.832134156678808,7.88250625027579,3005000
2004-08-24,7.8841328620910645,8.075873198763599,7.8727576670813475,7.8727576670813475,1235000
2004-08-25,8.248114585876465,8.368358769935185,7.962127769208468,8.027124667338812,815000
2004-08-26,8.48210334777832,8.48210334777832,8.157118842048952,8.158743648353973,2602500
2004-08-27,8.725841522216797,8.872084927280763,8.482102772051565,8.482102772051565,1990000
2004-08-30,8.8558349609375,8.937081466012708,8.449603985209649,8.774589230686388,430000
2004-08-31,9.19706916809082,9.24581722676626,8.776214156626631,8.83958624549265,3450000
2004-09-01,9.749544143676758,9.749544143676758,9.146697634523813,9.18894569633797,2317500
2004-09-02,9.341689109802246,9.619551147247483,9.341689109802246,9.619551147247483,1347500
2004-09-03,9.156444549560547,9.448930508774087,9.156444549560547,9.36280960426446,312500
2004-09-06,9.09957504272461,9.18082155977652,9.09957504272461,9.18082155977652,70000
2004-09-07,9.09957504272461,9.09957504272461,9.09957504272461,9.09957504272461,0
2004-09-08,9.018327713012695,9.32706256388567,9.018327713012695,9.32706256388567,930000
