Dia,Data,Preco_Previsto,Retorno_Previsto
1,2026-06-03,39.49,-0.18529244
2,2026-06-04,39.42,-0.18529244
3,2026-06-05,39.35,-0.18529244
4,2026-06-06,39.28,-0.18529244
5,2026-06-07,39.21,-0.18529244
6,2026-06-08,39.14,-0.18529244
7,2026-06-09,39.07,-0.18529244
8,2026-06-10,39.0,-0.18529244
9,2026-06-11,38.93,-0.18529244
10,2026-06-12,38.86,-0.18529244
