Dia,Data,Preco_Previsto,Retorno_Previsto
1,2026-06-09,42.01,0.088276856
2,2026-06-10,42.05,0.088276856
3,2026-06-11,42.09,0.088276856
4,2026-06-12,42.13,0.088276856
5,2026-06-13,42.17,0.088276856
6,2026-06-14,42.21,0.088276856
7,2026-06-15,42.25,0.088276856
8,2026-06-16,42.29,0.088276856
9,2026-06-17,42.33,0.088276856
10,2026-06-18,42.37,0.088276856
