Dia,Data,Preco_Previsto,Retorno_Previsto
1,2026-06-09,5.32,-0.4090036
2,2026-06-10,5.3,-0.4090036
3,2026-06-11,5.28,-0.4090036
4,2026-06-12,5.26,-0.4090036
5,2026-06-13,5.24,-0.4090036
6,2026-06-14,5.22,-0.4090036
7,2026-06-15,5.2,-0.4090036
8,2026-06-16,5.18,-0.4090036
9,2026-06-17,5.16,-0.4090036
10,2026-06-18,5.14,-0.4090036
