Dia,Data,Preco_Previsto,Retorno_Previsto
1,2026-06-09,78.33,0.33486468
2,2026-06-10,78.41,0.10449853
3,2026-06-11,78.51,0.1214634
4,2026-06-12,78.61,0.1214634
5,2026-06-13,78.71,0.1214634
6,2026-06-14,78.81,0.1214634
7,2026-06-15,78.91,0.1214634
8,2026-06-16,79.01,0.1214634
9,2026-06-17,79.11,0.1214634
10,2026-06-18,79.21,0.1214634
