Dia,Data,Preco_Previsto,Retorno_Previsto
1,2026-06-09,23.7,0.073373646
2,2026-06-10,23.72,0.073373646
3,2026-06-11,23.74,0.073373646
4,2026-06-12,23.76,0.073373646
5,2026-06-13,23.78,0.073373646
6,2026-06-14,23.8,0.073373646
7,2026-06-15,23.82,0.073373646
8,2026-06-16,23.84,0.073373646
9,2026-06-17,23.86,0.073373646
10,2026-06-18,23.88,0.073373646
