Dia,Data,Preco_Previsto,Retorno_Previsto
1,2026-06-09,41.25,0.071994185
2,2026-06-10,41.28,0.071994185
3,2026-06-11,41.31,0.071994185
4,2026-06-12,41.34,0.071994185
5,2026-06-13,41.37,0.071994185
6,2026-06-14,41.4,0.071994185
7,2026-06-15,41.43,0.071994185
8,2026-06-16,41.46,0.071994185
9,2026-06-17,41.49,0.071994185
10,2026-06-18,41.52,0.071994185
