Date,Close,High,Low,Open,Volume
2000-12-21,661.3607788085938,668.9626419602247,646.1571051206638,661.3607788085938,2464862
2000-12-22,653.758544921875,668.9622087644615,646.1566866929329,646.1566866929329,493857
2000-12-25,653.758544921875,653.758544921875,653.758544921875,653.758544921875,0
2000-12-26,653.758544921875,684.1659252223457,630.9530228503464,684.1659252223457,2257000
2000-12-27,668.9625244140625,684.1662480458155,661.360662598186,661.360662598186,2649137
2000-12-28,676.5640869140625,691.7677512043035,661.3603700085221,661.3603700085221,3098768
2000-12-29,676.5640869140625,676.5640869140625,676.5640869140625,676.5640869140625,0
2001-01-01,676.5640869140625,676.5640869140625,676.5640869140625,676.5640869140625,0
2001-01-02,638.5753784179688,668.9837372879183,630.9733281632247,668.9837372879183,2118425
2001-01-03,691.7898559570312,706.9940586822737,630.9732029070037,638.5752516526443,3263878
2001-01-04,722.1978759765625,760.2083126561527,691.7895371562817,706.9937328749003,4599504
2001-01-05,722.1978759765625,752.6062147968433,722.1978759765625,729.7999738358718,2047663
2001-01-08,745.0042724609375,745.0042724609375,714.595927292761,722.198026739047,1645207
2001-01-09,752.6062622070312,752.6062622070312,737.4021181475888,745.0041638688301,3977391
2001-01-10,752.6062622070312,760.2083605452323,737.4021181475888,745.0041638688301,1751349
2001-01-11,722.1978759765625,752.6062147968433,722.1978759765625,729.7999738358718,6303679
2001-01-12,729.8003540039062,760.2087086645253,722.1982521845055,760.2087086645253,1334151
2001-01-15,737.402099609375,745.0041451395017,722.1979033152048,722.1979033152048,322849
2001-01-16,737.402099609375,745.0041451395017,729.80000146229,745.0041451395017,1860440
2001-01-17,729.8003540039062,745.0045050257238,722.1982521845055,737.4024558233069,3664861
2001-01-18,760.2086791992188,767.8107281069841,729.8003257172122,737.4024272419593,3070758
2001-01-19,790.6168212890625,798.218868164221,760.2084759375253,760.2084759375253,4357735
2001-01-22,798.218994140625,813.4231955244327,783.0148453737933,798.218994140625,7976896
2001-01-23,828.6275024414062,836.2296045842317,805.8212486299159,805.8212486299159,7232425
2001-01-24,859.0354614257812,859.0354614257812,828.6271195235021,836.2292181533123,4808840
2001-01-25,859.0354614257812,859.0354614257812,859.0354614257812,859.0354614257812,0
2001-01-26,889.4440307617188,889.4440307617188,843.8315824721931,866.6378329254451,5746431
2001-01-29,874.2396240234375,889.4437154463208,866.6375256950362,889.4437154463208,4173460
2001-01-30,836.2293090820312,866.63765429081,828.6272096255947,866.63765429081,3980340
2001-01-31,813.4228515625,836.2290913774466,775.4124167929532,836.2290913774466,2702208
2001-02-01,775.4129028320312,828.6275132948473,760.208750964221,767.8108005896328,2563633
2001-02-02,760.2086791992188,783.0149311564783,760.2086791992188,775.4128296317311,1836853
2001-02-05,745.0042724609375,760.2084713535094,737.4022256316189,760.2084713535094,2180341
2001-02-06,767.810302734375,767.810302734375,745.0040634119415,760.2082580381989,3773952
2001-02-07,752.6062622070312,767.8104062664736,745.0041638688301,767.8104062664736,2408842
2001-02-08,775.4129028320312,790.6171073168283,767.8108005896328,767.8108005896328,2961667
2001-02-09,775.4129028320312,775.4129028320312,767.8108005896328,775.4129028320312,4034885
2001-02-12,760.2086791992188,783.0149311564783,760.2086791992188,775.4128296317311,403930
2001-02-13,767.810302734375,783.0144973606325,760.2082580381989,767.810302734375,2094838
2001-02-14,783.0147705078125,798.218917820938,760.2085232296387,760.2085232296387,2267319
2001-02-15,798.218994140625,798.218994140625,775.4127446818894,783.0148453737933,2136115
2001-02-16,752.6062622070312,798.2187470023181,745.0041638688301,798.2187470023181,1514003
2001-02-19,737.402099609375,752.6062432865867,729.80000146229,752.6062432865867,215233
2001-02-20,714.5960083007812,752.6064572241835,706.9939606096794,752.6064572241835,2759702
2001-02-21,684.1875,691.7895453321977,668.9833041016906,684.1875,1478622
2001-02-22,714.5960083007812,722.1981086088564,676.5856119943523,691.7897599935292,928746
2001-02-23,737.402099609375,745.0041451395017,714.5958051681198,714.5958051681198,2792134
2001-02-26,737.402099609375,737.402099609375,737.402099609375,737.402099609375,0
2001-02-27,737.402099609375,737.402099609375,737.402099609375,737.402099609375,0
2001-02-28,722.1978759765625,737.4020716951811,714.5957781172532,729.7999738358718,2116951
2001-03-01,745.0042724609375,745.0042724609375,722.198026739047,722.198026739047,1518426
2001-03-02,737.402099609375,752.6062432865867,729.80000146229,752.6062432865867,1266337
2001-03-05,737.402099609375,745.0041451395017,729.80000146229,745.0041451395017,3883042
2001-03-06,737.402099609375,745.0041451395017,737.402099609375,737.402099609375,2044715
2001-03-07,752.6062622070312,775.4125046046746,729.8000198093878,752.6062622070312,2918916
2001-03-08,745.0042724609375,767.810518182828,729.8001261853329,745.0042724609375,2593117
2001-03-09,752.6062622070312,752.6062622070312,722.1979214711868,722.1979214711868,3821126
2001-03-12,729.8003540039062,745.0045050257238,729.8003540039062,729.8003540039062,1751349
2001-03-13,729.8003540039062,745.0045050257238,722.1982521845055,729.8003540039062,1509580
2001-03-14,729.8003540039062,745.0045050257238,722.1982521845055,729.8003540039062,1509580
2001-03-15,722.1978759765625,745.004116937534,699.391635015591,745.004116937534,801964
2001-03-16,714.5960083007812,722.1981086088564,699.3918603016043,722.1981086088564,1406386
2001-03-19,699.3915405273438,729.7998752394391,699.3915405273438,722.1977784071779,844716
2001-03-20,745.0042724609375,752.6063719072234,691.7896815708705,722.198026739047,1279605
2001-03-21,714.5960083007812,745.0043569161083,714.5960083007812,729.8002089169315,2489923
2001-03-22,668.9835205078125,714.5960177237846,646.1772718998265,668.9835205078125,2211300
2001-03-23,737.402099609375,737.402099609375,676.5854196666112,737.402099609375,1424077
2001-03-26,745.0042724609375,767.810518182828,737.4022256316189,745.0042724609375,2519407
2001-03-27,760.2086791992188,760.2086791992188,745.0044761497246,760.2086791992188,1584765
2001-03-28,752.6062622070312,760.2083605452323,745.0041638688301,760.2083605452323,1764617
2001-03-29,737.402099609375,752.6062432865867,722.1979033152048,745.0041451395017,3353805
2001-03-30,722.1978759765625,729.7999738358718,706.9937328749003,722.1978759765625,1447664
2001-04-02,684.1875,714.5957865627049,684.1875,684.1875,2492872
2001-04-03,676.58544921875,706.9937905183182,676.58544921875,676.58544921875,619164
2001-04-04,684.1875,691.7895453321977,668.9833041016906,684.1875,2009334
2001-04-05,706.9940185546875,722.1981677999917,684.1877683782424,706.9940185546875,1353315
2001-04-06,729.8003540039062,737.4024558233069,706.9941011626879,729.8003540039062,1002456
2001-04-09,745.0042724609375,745.0042724609375,722.198026739047,729.8001261853329,1505158
2001-04-10,745.0042724609375,745.0042724609375,737.4022256316189,745.0042724609375,1298770
2001-04-11,737.402099609375,760.2083414336718,737.402099609375,737.402099609375,4773459
2001-04-12,714.5960083007812,714.5960083007812,706.9939606096794,714.5960083007812,916952
2001-04-13,714.5960083007812,714.5960083007812,714.5960083007812,714.5960083007812,0
2001-04-16,714.5960083007812,714.5960083007812,691.7897599935292,714.5960083007812,2156754
2001-04-17,699.3915405273438,706.9936373596049,691.7894436950826,691.7894436950826,909581
2001-04-18,729.8003540039062,752.6066068451246,699.3919993432871,729.8003540039062,3257982
2001-04-19,729.8003540039062,752.6066068451246,706.9941011626879,729.8003540039062,1183782
2001-04-20,699.3915405273438,722.1977784071779,699.3915405273438,699.3915405273438,903684
2001-04-23,691.7898559570312,691.7898559570312,653.7794543778866,676.5857058487695,757738
2001-04-24,699.3915405273438,706.9936373596049,684.1873994797708,684.1873994797708,3813755
2001-04-25,706.9940185546875,714.5960668688508,699.3919176235465,699.3919176235465,577886
2001-04-26,722.1978759765625,745.004116937534,699.391635015591,722.1978759765625,1014249
2001-04-27,760.2086791992188,760.2086791992188,729.8003257172122,729.8003257172122,2923338
2001-04-30,767.810302734375,783.0144973606325,752.6061607250703,752.6061607250703,1124814
2001-05-01,767.810302734375,767.810302734375,767.810302734375,767.810302734375,0
2001-05-02,767.810302734375,767.810302734375,767.810302734375,767.810302734375,0
2001-05-03,760.2086791992188,767.8107281069841,752.6065776744717,752.6065776744717,2597540
2001-05-04,760.2086791992188,775.4128296317311,745.0044761497246,760.2086791992188,846190
2001-05-07,752.6062622070312,767.8104062664736,752.6062622070312,760.2083605452323,784274
2001-05-08,752.6062622070312,767.8104062664736,745.0041638688301,752.6062622070312,1485993
2001-05-09,752.6062622070312,752.6062622070312,752.6062622070312,752.6062622070312,0
2001-05-10,722.1978759765625,745.004116937534,714.5957781172532,737.4020716951811,1836853
2001-05-11,668.9835205078125,714.5960177237846,653.7793723081464,714.5960177237846,3594099
2001-05-14,646.17724609375,668.9834937909337,638.5751459890315,668.9834937909337,567567
2001-05-15,600.5646362304688,615.7687809249911,600.5646362304688,615.7687809249911,3629480
2001-05-16,661.381591796875,661.381591796875,608.1669803578507,608.1669803578507,2078622
2001-05-17,653.7791137695312,668.9832559566805,646.17701636748,668.9832559566805,4360683
2001-05-18,638.5753784179688,668.9837372879183,630.9733281632247,668.9837372879183,5178864
2001-05-21,615.768798828125,653.7792405950062,600.5646536915506,638.5750428414683,2099260
2001-05-22,608.1668090820312,630.9731098047465,608.1668090820312,630.9731098047465,1186731
2001-05-23,608.1668090820312,615.7689093229363,592.962661217194,615.7689093229363,1062898
2001-05-24,600.5646362304688,615.7687809249911,585.3604389189844,608.166682269249,2211300
2001-05-25,585.360595703125,608.1668451618606,577.7585476281971,608.1668451618606,514495
2001-05-28,585.360595703125,592.9626963950288,585.360595703125,592.9626963950288,1584765
2001-05-29,592.9625244140625,600.5646229010779,585.3604259270471,585.3604259270471,647173
2001-05-30,592.9625244140625,592.9625244140625,592.9625244140625,592.9625244140625,0
2001-05-31,600.5646362304688,615.7687809249911,600.5646362304688,608.166682269249,863881
2001-06-01,608.1668090820312,615.7689093229363,600.564761458099,600.564761458099,1061424
2001-06-04,623.3709106445312,630.973009679101,615.7688116099616,615.7688116099616,633906
2001-06-05,630.97314453125,646.1772932328693,630.97314453125,630.97314453125,2346926
2001-06-06,638.5753784179688,653.7795841614391,638.5753784179688,646.1774812897039,2650611
2001-06-07,661.381591796875,661.381591796875,646.1774396501485,653.7795420320056,2798031
2001-06-08,684.1875,684.1875,661.3812061525358,661.3812061525358,2276164
2001-06-11,661.381591796875,684.1878989424463,653.7795420320056,684.1878989424463,1723339
2001-06-12,646.17724609375,653.7793461984686,638.5751459890315,653.7793461984686,1416706
2001-06-13,668.9835205078125,676.5856209161325,653.7793723081464,653.7793723081464,2488449
2001-06-14,668.9835205078125,668.9835205078125,668.9835205078125,668.9835205078125,0
2001-06-15,661.381591796875,676.5857965605892,646.1774396501485,676.5857965605892,622112
2001-06-18,653.7791137695312,661.3811585546292,638.5749189654287,661.3811585546292,713512
2001-06-19,653.7791137695312,653.7791137695312,638.5749189654287,646.17701636748,3365598
2001-06-20,661.381591796875,661.381591796875,646.1774396501485,653.7795420320056,1587713
2001-06-21,676.58544921875,684.1875476978822,653.779206398314,653.779206398314,1036362
2001-06-22,684.1875,706.9937412305071,676.5854020508452,691.7895453321977,2044715
2001-06-25,661.381591796875,699.3920510891728,653.7795420320056,684.1878989424463,2105157
2001-06-26,646.17724609375,668.9834937909337,638.5751459890315,668.9834937909337,1254544
2001-06-27,638.5753784179688,661.3816344161831,638.5753784179688,646.1774812897039,942013
2001-06-28,638.5753784179688,661.3816344161831,638.5753784179688,638.5753784179688,728254
2001-06-29,676.58544921875,676.58544921875,638.5750094400496,638.5750094400496,1870759
2001-07-02,653.7791137695312,668.9832559566805,646.17701636748,668.9832559566805,862407
2001-07-03,653.7791137695312,661.3811585546292,653.7791137695312,653.7791137695312,977394
2001-07-04,653.7791137695312,653.7791137695312,653.7791137695312,653.7791137695312,0
2001-07-05,600.5646362304688,630.9729782364755,592.9625375747265,630.9729782364755,1378377
2001-07-06,600.5646362304688,608.166682269249,592.9625375747265,600.5646362304688,1783782
2001-07-09,600.5646362304688,600.5646362304688,600.5646362304688,600.5646362304688,0
2001-07-10,554.9519653320312,608.1665380709513,547.3499210957208,608.1665380709513,3179849
2001-07-11,592.9625244140625,608.1666687711324,562.5541830829618,570.1562815699771,3632428
2001-07-12,623.3709106445312,630.973009679101,592.962567123217,592.962567123217,1941521
2001-07-13,623.3709106445312,638.5750560967061,608.1667125753919,623.3709106445312,620638
2001-07-16,615.768798828125,630.9729965816629,615.768798828125,623.3708977048939,431940
2001-07-17,638.5753784179688,638.5753784179688,615.7691224197542,615.7691224197542,744471
2001-07-18,608.1668090820312,638.5751574286787,608.1668090820312,638.5751574286787,611793
2001-07-19,623.3709106445312,623.3709106445312,600.5646661577867,608.1667125753919,781326
2001-07-20,638.5753784179688,646.1774812897039,608.1670195480191,630.9733281632247,1061424
2001-07-23,661.381591796875,684.1878989424463,646.1774396501485,646.1774396501485,1359212
2001-07-24,653.7918701171875,661.3940632311693,615.780694075359,646.1896243852259,1034888
2001-07-25,653.7918701171875,661.3940632311693,630.9851855392824,630.9851855392824,361179
2001-07-26,661.3944091796875,676.5989085964661,646.1899623809162,661.3944091796875,821129
2001-07-27,638.5878295898438,653.7923317903736,638.5878295898438,646.1900806901087,305159
2001-07-30,615.7806396484375,638.5873222105314,615.7806396484375,638.5873222105314,448156
2001-07-31,646.189453125,646.189453125,623.3827745915713,623.3827745915713,2088941
2001-08-01,638.5878295898438,646.1900806901087,638.5878295898438,646.1900806901087,1586239
2001-08-02,661.3944091796875,661.3944091796875,646.1899623809162,646.1899623809162,2526778
2001-08-03,661.3944091796875,668.9966588880768,646.1899623809162,661.3944091796875,916952
